color_code,color_name,hex_code,manufacturer,deck
CSP-455,Faded Violet,#8E90A2,Benjamin Moore,Color Stories
CSP-460,Pinot Grigio Grape,#706278,Benjamin Moore,Color Stories
CSP-465,Purplicious,#4E3455,Benjamin Moore,Color Stories
CSP-470,Elderberry Wine,#612F4F,Benjamin Moore,Color Stories
CSP-475,Wild Mulberry,#6C5F6C,Benjamin Moore,Color Stories
CSP-480,Velvet Cloak,#392A31,Benjamin Moore,Color Stories
CSP-485,Paper Doll,#E9EAE2,Benjamin Moore,Color Stories
CSP-490,Lilac Hush,#D7D3CE,Benjamin Moore,Color Stories
CSP-495,Through the Looking ...,#C1BDBD,Benjamin Moore,Color Stories
CSP-500,Whisper,#D6D6D1,Benjamin Moore,Color Stories
CSP-505,Evening Skyline,#928A8C,Benjamin Moore,Color Stories
CSP-510,Mythic,#605A61,Benjamin Moore,Color Stories
CSP-515,Lavender Wash,#D0D5D8,Benjamin Moore,Color Stories
CSP-520,Pressed Violet,#8FA4C6,Benjamin Moore,Color Stories
CSP-525,Fancy Pants,#546290,Benjamin Moore,Color Stories
CSP-530,Flower Box,#8791A5,Benjamin Moore,Color Stories
CSP-535,Approaching Storm,#4C4B5D,Benjamin Moore,Color Stories
CSP-540,Plum Martini,#413D40,Benjamin Moore,Color Stories
CSP-545,Sheer Bliss,#D1DEE6,Benjamin Moore,Color Stories
CSP-550,Porcelain Glaze,#9BB3C6,Benjamin Moore,Color Stories
CSP-555,Waterloo,#608FC3,Benjamin Moore,Color Stories
CSP-560,Nile Blue,#4F729B,Benjamin Moore,Color Stories
CSP-565,Indi Go-Go,#455873,Benjamin Moore,Color Stories
CSP-570,Notre Dame,#414444,Benjamin Moore,Color Stories
CSP-575,Ice Fog,#DDDFD9,Benjamin Moore,Color Stories
CSP-580,Seersucker Suit,#C4C8C6,Benjamin Moore,Color Stories
CSP-585,Subway Tile®,#A9B0B1,Benjamin Moore,Color Stories
CSP-590,Early Frost,#CACFD2,Benjamin Moore,Color Stories
CSP-595,French Toile,#A3B1B8,Benjamin Moore,Color Stories
CSP-600,Andes Summit,#596572,Benjamin Moore,Color Stories
CSP-605,Dusty Cornflower,#8DA5AE,Benjamin Moore,Color Stories
CSP-610,Intuition,#B8CFD5,Benjamin Moore,Color Stories
CSP-615,Daydream,#99C1D0,Benjamin Moore,Color Stories
CSP-620,Wild Blue Yonder,#7A8F9A,Benjamin Moore,Color Stories
CSP-625,Deep Secret®,#535B61,Benjamin Moore,Color Stories
CSP-630,After Midnight,#34393F,Benjamin Moore,Color Stories
CSP-635,Spa Day,#5FA4B2,Benjamin Moore,Color Stories
CSP-640,In the Tropics,#3C99A3,Benjamin Moore,Color Stories
CSP-645,Avalon Teal,#27778F,Benjamin Moore,Color Stories
CSP-650,Cable Knit Sweater,#84A1AE,Benjamin Moore,Color Stories
CSP-655,Bellbottom Blues,#396C8D,Benjamin Moore,Color Stories
CSP-660,Adriatic Sea,#014864,Benjamin Moore,Color Stories
CSP-665,Cool Breeze,#CCD4CD,Benjamin Moore,Color Stories
CSP-670,Silken Blue,#9CB0B2,Benjamin Moore,Color Stories
CSP-675,St. John Blue,#83A2A8,Benjamin Moore,Color Stories
CSP-680,Baltic Sea,#57868D,Benjamin Moore,Color Stories
CSP-685,Stained Glass,#45656E,Benjamin Moore,Color Stories
CSP-690,Hidden Sapphire,#033C4F,Benjamin Moore,Color Stories
CSP-695,Antique Glass,#A8C8BD,Benjamin Moore,Color Stories
CSP-700,Skydive,#7FB7AD,Benjamin Moore,Color Stories
CSP-705,Antiqued Aqua,#76A09B,Benjamin Moore,Color Stories
CSP-710,Tropical Oasis,#5A7E7E,Benjamin Moore,Color Stories
CSP-715,Fair Isle Blue,#4A6F74,Benjamin Moore,Color Stories
CSP-720,Dark Harbor,#1F4951,Benjamin Moore,Color Stories
CSP-725,Barely There,#E9E7DF,Benjamin Moore,Color Stories
CSP-730,Picnic Basket,#BCC4BC,Benjamin Moore,Color Stories
CSP-735,Sea Glass,#929F98,Benjamin Moore,Color Stories
CSP-740,Sylvan Mist,#B8C7BF,Benjamin Moore,Color Stories
CSP-745,Mystic Lake,#8BA09C,Benjamin Moore,Color Stories
CSP-750,Porch Swing,#717D7A,Benjamin Moore,Color Stories
CSP-755,Dusty Miller,#CFCFC1,Benjamin Moore,Color Stories
CSP-760,Oil Cloth,#A0A295,Benjamin Moore,Color Stories
CSP-765,Rooftop Garden,#77786A,Benjamin Moore,Color Stories
CSP-770,Sagebrush,#C3C9B9,Benjamin Moore,Color Stories
CSP-775,Sage Wisdom,#AAB6A6,Benjamin Moore,Color Stories
CSP-780,Summer's Day,#8B9F89,Benjamin Moore,Color Stories
CSP-785,Sweet Celadon,#DCE0CD,Benjamin Moore,Color Stories
