Color Name,Hex Value,Color Code
Cameo White,#F3E8D0,PM-25
Montgomery White,#F5E3C1,PM-26
Richmond Bisque,#D9C6A6,PM-27
Linen White,#F3ECDB,PM-28
Navajo White,#EFE8D6,PM-29
Bone White,#E7DECA,PM-30
Lancaster White,#e6e1cc,PM-31
Briarwood,#A09889,PM-32
