color_code,color_name,hex_code,manufacturer,deck
CW-450,Greenhow Moss,#A7A66D,Benjamin Moore,Williamsburg
CW-455,Green Earth,#E8E6BE,Benjamin Moore,Williamsburg
CW-460,Green Umber,#D4D090,Benjamin Moore,Williamsburg
CW-465,Parrot Green,#B3B36B,Benjamin Moore,Williamsburg
CW-470,Timson Green,#6F753B,Benjamin Moore,Williamsburg
CW-475,Palmer Green,#605E3A,Benjamin Moore,Williamsburg
CW-480,Bassett Hall Green,#A8A888,Benjamin Moore,Williamsburg
CW-485,Burgess Green,#BBBE9A,Benjamin Moore,Williamsburg
CW-490,Levingston Green,#C9CDAE,Benjamin Moore,Williamsburg
CW-495,Russell Green,#A3AC88,Benjamin Moore,Williamsburg
CW-500,Nicolson Green,#76816B,Benjamin Moore,Williamsburg
CW-505,Windsor Green,#495033,Benjamin Moore,Williamsburg
CW-510,Waller Green,#373B33,Benjamin Moore,Williamsburg
CW-515,Sea Green,#A4B793,Benjamin Moore,Williamsburg
CW-520,Palace Green,#778D6F,Benjamin Moore,Williamsburg
CW-525,Raleigh Green,#5A7F60,Benjamin Moore,Williamsburg
CW-530,Colonial Verdigris,#3F5034,Benjamin Moore,Williamsburg
CW-535,Buffett Green,#275E42,Benjamin Moore,Williamsburg
CW-540,Dunmore Green,#519A6F,Benjamin Moore,Williamsburg
CW-545,Spotswood Teal,#6F9587,Benjamin Moore,Williamsburg
CW-550,Geddy Verdigris,#2F8C7F,Benjamin Moore,Williamsburg
CW-555,Goodwin Green,#445952,Benjamin Moore,Williamsburg
CW-560,Galt Blue,#BFD7CE,Benjamin Moore,Williamsburg
CW-565,Anderson Blue,#97C0B9,Benjamin Moore,Williamsburg
CW-570,Mayo Teal,#568888,Benjamin Moore,Williamsburg
CW-575,Everard Blue,#3E555A,Benjamin Moore,Williamsburg
CW-580,Wetherburn's Blue,#708587,Benjamin Moore,Williamsburg
CW-585,Ewing Blue,#D1E3E1,Benjamin Moore,Williamsburg
CW-590,Williamsburg Wythe Bl...,#7F9FA1,Benjamin Moore,Williamsburg
CW-595,Chesapeake Blue,#95C1C7,Benjamin Moore,Williamsburg
CW-600,Bracken Blue,#6AA3AC,Benjamin Moore,Williamsburg
